# wavelength(um)    fp/fs
0.113888     5.61011000e-04
0.113926     6.96132000e-04
0.113964     6.81025000e-04
0.114002     9.20305000e-04
0.114040     1.17324000e-03
0.114078     1.08317000e-03
0.114116     6.06065000e-04
0.114154     5.68616000e-04
0.114192     5.09269000e-04
0.114231     3.50459000e-03
0.114269     5.57485000e-04
0.114307     6.04119000e-04
0.114345     6.26101000e-04
0.114383     6.50584000e-04
0.114421     5.62137000e-04
0.114459     6.03834000e-04
0.114497     2.26261000e-03
0.114536     6.08893000e-04
0.114574     5.47062000e-04
0.114612     5.36543000e-04
0.114650     6.35494000e-04
0.114688     6.44485000e-04
0.114727     6.19348000e-04
0.114765     6.17455000e-04
0.114803     6.16360000e-04
0.114841     6.26260000e-04
0.114880     5.87389000e-04
0.114918     5.92264000e-04
0.114956     7.75395000e-04
0.114994     6.09688000e-04
0.115033     6.68768000e-04
0.115071     8.39995000e-04
0.115110     8.34123000e-04
0.115148     6.40213000e-04
0.115186     5.65259000e-04
0.115225     5.68571000e-04
0.115263     5.55823000e-04
0.115301     1.74716000e-03
0.115340     6.09595000e-04
0.115378     6.47112000e-04
0.115417     6.26326000e-04
0.115455     6.66465000e-04
0.115494     6.81779000e-04
0.115532     6.81018000e-04
0.115571     1.68787000e-03
0.115609     6.57583000e-04
0.115648     1.36762000e-03
0.115686     6.85405000e-04
0.115725     6.77369000e-04
0.115764     1.22899000e-03
0.115802     8.08815000e-04
0.115841     6.83987000e-04
0.115879     6.77680000e-04
0.115918     7.57005000e-04
0.115957     7.17402000e-04
0.115995     6.57061000e-04
0.116034     5.25595000e-04
0.116073     6.76954000e-04
0.116111     6.84910000e-04
0.116150     6.83929000e-04
0.116189     5.49353000e-04
0.116227     6.76687000e-04
0.116266     5.14810000e-04
0.116305     5.06109000e-04
0.116344     6.69367000e-04
0.116383     6.88289000e-04
0.116421     6.69410000e-04
0.116460     6.68210000e-04
0.116499     6.78098000e-04
0.116538     6.25740000e-04
0.116577     5.90257000e-04
0.116615     6.69637000e-04
0.116654     5.29663000e-04
0.116693     5.19554000e-04
0.116732     6.31998000e-04
0.116771     6.28388000e-04
0.116810     6.42270000e-04
0.116849     1.47673000e-03
0.116888     6.35452000e-04
