# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.16731   1.541757614e-03
     0.16753   1.093248288e-03
     0.16775   1.390026809e-03
     0.16798   1.736892409e-03
     0.16820   1.341354103e-03
     0.16843   3.461308036e-03
     0.16865   1.933427210e-03
     0.16888   1.311985861e-03
     0.16910   3.148380838e-03
     0.16933   1.214389439e-03
     0.16955   2.705606584e-03
     0.16978   3.240879369e-03
     0.17001   2.227775369e-03
     0.17023   1.562475113e-03
     0.17046   3.423514506e-03
     0.17069   4.453179118e-03
     0.17092   4.951349470e-03
     0.17114   4.972401590e-03
     0.17137   6.469229168e-03
     0.17160   2.977701882e-03
     0.17183   2.415375307e-03
     0.17206   3.723649785e-03
     0.17229   6.121783068e-03
     0.17252   6.447482326e-03
     0.17275   7.262534594e-03
     0.17298   6.583752582e-03
     0.17321   6.097369687e-03
     0.17344   4.527587401e-03
     0.17367   6.347146305e-03
     0.17390   4.775674522e-03
     0.17414   4.523041664e-03
     0.17437   8.968175864e-03
     0.17460   9.751190586e-03
     0.17483   8.013211986e-03
     0.17507   5.539411357e-03
     0.17530   6.545287832e-03
     0.17553   1.037870675e-02
     0.17577   6.893530173e-03
     0.17600   1.186328338e-02
     0.17624   6.797131630e-03
     0.17647   9.192301104e-03
     0.17671   1.272833195e-02
     0.17694   9.696525781e-03
     0.17718   6.295139565e-03
     0.17742   1.080802910e-02
     0.17765   1.480638500e-02
     0.17789   1.328634798e-02
     0.17813   1.391768927e-02
     0.17837   1.931181519e-02
     0.17860   1.692159380e-02
     0.17884   2.382841623e-02
     0.17908   1.674235218e-02
     0.17932   8.816437092e-03
     0.17956   1.527230709e-02
     0.17980   1.128030696e-02
     0.18004   1.884896755e-02
     0.18028   2.810784516e-02
     0.18052   2.578942905e-02
     0.18076   2.297278330e-02
     0.18100   2.506282408e-02
     0.18124   1.132614857e-02
     0.18148   1.698791651e-02
     0.18173   2.110160651e-02
     0.18197   1.823322404e-02
     0.18221   2.720990906e-02
