# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.64409      0.00767     2.06080    0.00572    niriss
    1.64255      0.00738     2.07228    0.00576    niriss
    1.63022      0.00746     2.08382    0.00579    niriss
    1.64192      0.00756     2.09543    0.00582    niriss
    1.63067      0.00764     2.10711    0.00585    niriss
    1.62085      0.00778     2.11885    0.00589    niriss
    1.61788      0.00753     2.13065    0.00592    niriss
    1.63344      0.00792     2.14252    0.00595    niriss
    1.63412      0.00801     2.15446    0.00598    niriss
    1.63379      0.00786     2.16646    0.00602    niriss
    1.64216      0.00829     2.17853    0.00605    niriss
    1.64450      0.00804     2.19066    0.00609    niriss
    1.64446      0.00851     2.20287    0.00612    niriss
    1.65333      0.00822     2.21514    0.00615    niriss
    1.66579      0.00835     2.22748    0.00619    niriss
    1.65325      0.00846     2.23989    0.00622    niriss
    1.67315      0.00893     2.25237    0.00626    niriss
    1.67362      0.00871     2.26492    0.00629    niriss
    1.66242      0.00886     2.27754    0.00633    niriss
    1.65772      0.00903     2.29022    0.00636    niriss
    1.66914      0.00888     2.30298    0.00640    niriss
    1.66227      0.00930     2.31581    0.00643    niriss
    1.67648      0.00963     2.32871    0.00647    niriss
    1.66885      0.00927     2.34169    0.00650    niriss
    1.68584      0.00993     2.35473    0.00654    niriss
    1.68817      0.00954     2.36785    0.00658    niriss
    1.68941      0.01025     2.38104    0.00661    niriss
    1.67891      0.00987     2.39431    0.00665    niriss
    1.66102      0.01000     2.40765    0.00669    niriss
    1.66470      0.01029     2.42106    0.00673    niriss
    1.69038      0.01030     2.43455    0.00676    niriss
    1.66875      0.01060     2.44811    0.00680    niriss
    1.67402      0.01061     2.46175    0.00684    niriss
    1.64863      0.01093     2.47546    0.00688    niriss
    1.67708      0.01114     2.48925    0.00691    niriss
    1.70570      0.01080     2.50312    0.00695    niriss
    1.68751      0.01134     2.51707    0.00699    niriss
    1.68742      0.01103     2.53109    0.00703    niriss
    1.68000      0.01167     2.54519    0.00707    niriss
    1.70589      0.01139     2.55937    0.00711    niriss
    1.68507      0.01183     2.57363    0.00715    niriss
    1.71420      0.01156     2.58797    0.00719    niriss
    1.69445      0.01160     2.60238    0.00723    niriss
    1.70017      0.01186     2.61688    0.00727    niriss
    1.66857      0.01210     2.63146    0.00731    niriss
    1.66811      0.01227     2.64612    0.00735    niriss
    1.71212      0.01203     2.66086    0.00739    niriss
    1.72803      0.01247     2.67569    0.00743    niriss
    1.69650      0.01255     2.69059    0.00747    niriss
    1.70439      0.01238     2.70558    0.00752    niriss
    1.69524      0.01257     2.72065    0.00756    niriss
    1.72829      0.01317     2.73581    0.00760    niriss
    1.69744      0.01294     2.75105    0.00764    niriss
    1.71694      0.01320     2.76638    0.00768    niriss
    1.68378      0.01349     2.78179    0.00773    niriss
    1.69530      0.01386     2.79729    0.00777    niriss
    1.68513      0.00594     2.87854    0.00800    nirspec
    1.68941      0.00589     2.89458    0.00804    nirspec
    1.70482      0.00580     2.91070    0.00809    nirspec
    1.68890      0.00573     2.92692    0.00813    nirspec
    1.68259      0.00560     2.94322    0.00818    nirspec
    1.69151      0.00537     2.95962    0.00822    nirspec
    1.67863      0.00539     2.97611    0.00827    nirspec
    1.67909      0.00523     2.99269    0.00831    nirspec
    1.69380      0.00529     3.00936    0.00836    nirspec
    1.67994      0.00517     3.02613    0.00841    nirspec
    1.68254      0.00516     3.04298    0.00845    nirspec
    1.66818      0.00503     3.05994    0.00850    nirspec
    1.68854      0.00513     3.07698    0.00855    nirspec
    1.67331      0.00504     3.09413    0.00859    nirspec
    1.68413      0.00515     3.11136    0.00864    nirspec
    1.69079      0.00502     3.12870    0.00869    nirspec
    1.69681      0.00503     3.14613    0.00874    nirspec
    1.68471      0.00504     3.16365    0.00879    nirspec
    1.69517      0.00506     3.18128    0.00884    nirspec
    1.69481      0.00499     3.19900    0.00889    nirspec
    1.69096      0.00510     3.21682    0.00894    nirspec
    1.69150      0.00502     3.23475    0.00899    nirspec
    1.68846      0.00502     3.25277    0.00904    nirspec
    1.67798      0.00502     3.27089    0.00909    nirspec
    1.67676      0.00505     3.28911    0.00914    nirspec
    1.69699      0.00503     3.30743    0.00919    nirspec
    1.70473      0.00500     3.32586    0.00924    nirspec
    1.69642      0.00500     3.34439    0.00929    nirspec
    1.68379      0.00512     3.36302    0.00934    nirspec
    1.68025      0.00505     3.38175    0.00939    nirspec
    1.68563      0.00503     3.40059    0.00945    nirspec
    1.68303      0.00510     3.41954    0.00950    nirspec
    1.67736      0.00511     3.43859    0.00955    nirspec
    1.68581      0.00506     3.45775    0.00960    nirspec
    1.66898      0.00506     3.47701    0.00966    nirspec
    1.67989      0.00510     3.49638    0.00971    nirspec
    1.68062      0.00515     3.51586    0.00977    nirspec
    1.68228      0.00517     3.53545    0.00982    nirspec
    1.68231      0.00510     3.55514    0.00988    nirspec
    1.67741      0.00515     3.57495    0.00993    nirspec
    1.67827      0.00528     3.59486    0.00999    nirspec
    1.66733      0.00522     3.61489    0.01004    nirspec
    1.66622      0.00520     3.63503    0.01010    nirspec
    1.66200      0.00535     3.65528    0.01015    nirspec
    1.66516      0.00533     3.67564    0.01021    nirspec
    1.65568      0.00543     3.69612    0.01027    nirspec
    1.65725      0.00669     3.71671    0.01032    nirspec
    1.64743      0.00847     3.82140    0.01062    nirspec
    1.63700      0.00565     3.84269    0.01067    nirspec
    1.65308      0.00574     3.86410    0.01073    nirspec
    1.64492      0.00580     3.88563    0.01079    nirspec
    1.65144      0.00577     3.90727    0.01085    nirspec
    1.63461      0.00583     3.92904    0.01091    nirspec
    1.65695      0.00592     3.95093    0.01097    nirspec
    1.65481      0.00599     3.97294    0.01104    nirspec
    1.64772      0.00599     3.99507    0.01110    nirspec
    1.65519      0.00616     4.01733    0.01116    nirspec
    1.66941      0.00614     4.03971    0.01122    nirspec
    1.65944      0.00625     4.06222    0.01128    nirspec
    1.66042      0.00632     4.08485    0.01135    nirspec
    1.64356      0.00630     4.10760    0.01141    nirspec
    1.65046      0.00645     4.13049    0.01147    nirspec
    1.64313      0.00645     4.15350    0.01154    nirspec
    1.65420      0.00656     4.17664    0.01160    nirspec
    1.66449      0.00660     4.19991    0.01167    nirspec
    1.70211      0.00671     4.22330    0.01173    nirspec
    1.71709      0.00671     4.24683    0.01180    nirspec
    1.72648      0.00681     4.27049    0.01186    nirspec
    1.73835      0.00706     4.29428    0.01193    nirspec
    1.74435      0.00721     4.31821    0.01200    nirspec
    1.73056      0.00730     4.34226    0.01206    nirspec
    1.73667      0.00750     4.36645    0.01213    nirspec
    1.73980      0.00765     4.39078    0.01220    nirspec
    1.71235      0.00790     4.41524    0.01226    nirspec
    1.72416      0.00787     4.43984    0.01233    nirspec
    1.71118      0.00808     4.46457    0.01240    nirspec
    1.72199      0.00813     4.48944    0.01247    nirspec
    1.70075      0.00829     4.51445    0.01254    nirspec
    1.70189      0.00853     4.53960    0.01261    nirspec
    1.69170      0.00846     4.56490    0.01268    nirspec
    1.68659      0.00876     4.59033    0.01275    nirspec
    1.67507      0.00876     4.61590    0.01282    nirspec
    1.68401      0.00882     4.64161    0.01289    nirspec
    1.67951      0.00905     4.66747    0.01297    nirspec
    1.67311      0.00898     4.69348    0.01304    nirspec
    1.67080      0.00920     4.71962    0.01311    nirspec
    1.66401      0.00923     4.74592    0.01318    nirspec
    1.68499      0.00938     4.77236    0.01326    nirspec
    1.65781      0.00953     4.79894    0.01333    nirspec
    1.67961      0.00972     4.82568    0.01340    nirspec
    1.67994      0.00985     4.85256    0.01348    nirspec
    1.69486      0.00984     4.87960    0.01355    nirspec
    1.68380      0.01000     4.90678    0.01363    nirspec
    1.68365      0.01016     4.93412    0.01371    nirspec
    1.70194      0.01021     4.96160    0.01378    nirspec
    1.69605      0.01042     4.98925    0.01386    nirspec
    1.67050      0.01057     5.01704    0.01394    nirspec
    1.65997      0.01053     5.04499    0.01401    nirspec
    1.67989      0.01070     5.07310    0.01409    nirspec
    1.67754      0.01072     5.10136    0.01417    nirspec
    1.70064      0.01089     5.12978    0.01425    nirspec
    1.66348      0.01121     5.15836    0.01433    nirspec
    1.66799      0.00934     5.05288    0.03158    miri
    1.67073      0.00831     5.11644    0.03198    miri
    1.66641      0.00818     5.18080    0.03238    miri
    1.68204      0.00827     5.24597    0.03279    miri
    1.67249      0.00846     5.31195    0.03320    miri
    1.67876      0.00859     5.37877    0.03362    miri
    1.69475      0.00874     5.44643    0.03404    miri
    1.68407      0.00895     5.51494    0.03447    miri
    1.68177      0.00918     5.58431    0.03490    miri
    1.67156      0.00935     5.65455    0.03534    miri
    1.70249      0.00682     5.72568    0.03579    miri
    1.66920      0.00986     5.79770    0.03624    miri
    1.69457      0.00988     5.87062    0.03669    miri
    1.67615      0.00715     5.94447    0.03715    miri
    1.66095      0.01047     6.01924    0.03762    miri
    1.67689      0.00758     6.09496    0.03809    miri
    1.67494      0.01085     6.17162    0.03857    miri
    1.68461      0.00774     6.24925    0.03906    miri
    1.69118      0.00786     6.32786    0.03955    miri
    1.66417      0.01128     6.40746    0.04005    miri
    1.67970      0.00816     6.48805    0.04055    miri
    1.68647      0.00838     6.56966    0.04106    miri
    1.70138      0.00843     6.65230    0.04158    miri
    1.69415      0.00870     6.73598    0.04210    miri
    1.68703      0.00893     6.82071    0.04263    miri
    1.69766      0.00901     6.90650    0.04317    miri
    1.68656      0.00765     6.99338    0.04371    miri
    1.69748      0.00959     7.08134    0.04426    miri
    1.71675      0.00960     7.17042    0.04482    miri
    1.73127      0.00805     7.26061    0.04538    miri
    1.72788      0.01024     7.35194    0.04595    miri
    1.73559      0.00859     7.44442    0.04653    miri
    1.72893      0.00881     7.53806    0.04711    miri
    1.69203      0.00916     7.63287    0.04771    miri
    1.70311      0.01146     7.72889    0.04831    miri
    1.70160      0.00964     7.82610    0.04891    miri
    1.71726      0.00995     7.92455    0.04953    miri
    1.69525      0.00888     8.02423    0.05015    miri
    1.69309      0.01058     8.12516    0.05078    miri
    1.67140      0.01083     8.22736    0.05142    miri
    1.68801      0.00957     8.33085    0.05207    miri
    1.68944      0.01133     8.43564    0.05272    miri
    1.68564      0.01003     8.54175    0.05339    miri
    1.68813      0.01027     8.64919    0.05406    miri
    1.68387      0.01065     8.75799    0.05474    miri
    1.68492      0.01104     8.86815    0.05543    miri
    1.69802      0.01147     8.97970    0.05612    miri
    1.68027      0.01195     9.09265    0.05683    miri
    1.67295      0.01113     9.20703    0.05754    miri
    1.65630      0.01298     9.32284    0.05827    miri
    1.67778      0.01218     9.44011    0.05900    miri
    1.64781      0.01237     9.55885    0.05974    miri
    1.66984      0.01304     9.67909    0.06049    miri
    1.65665      0.01269     9.80084    0.06126    miri
    1.65000      0.01435     9.92412    0.06203    miri
    1.66863      0.01412    10.04895    0.06281    miri
    1.65725      0.01531    10.17535    0.06360    miri
    1.67876      0.01635    10.30334    0.06440    miri
    1.67143      0.01824    10.43294    0.06521    miri
